,fluxes,reduced_costs
DAPE,0.05210146900888173,0.0
LYCOPC,0.0,0.0
RB15BPtcx,0.0,-0.016593250930429314
GLCBRAN3,0.0,-0.011895896806741135
DB4PS,2.094098083417656e-05,1.5612511283791264e-17
DXPRIi,0.06224307002970357,1.1102230246251565e-16
GTPCII,1.047049041708828e-05,9.8879238130678e-17
RBFSa,2.0940980834176556e-05,-5.730854510282007e-17
GLUTRS,0.02142482199529787,-5.551115123125783e-17
ALDD2y,0.0,2.2190718760683245e-16
EHGLAT,0.0,0.0
METAT,0.01067607330157078,5.371375735969558e-17
DHORTS,-0.006268984333796086,-3.086161767535205e-17
PDX5PS2,0.0,-8.265787644141214e-17
GAPDi_nadp,0.0,2.1838110852280738e-16
PGCD,0.0,-2.6127442644353133e-17
AIRC3,0.0,0.0
UMPK,0.040039497091882835,0.0
CBPS,0.006268984333796087,-1.6833084756533574e-16
3HAD180,0.0,-0.0
RBFSb_1,0.0,5.551115123125783e-17
GLNabcpp,0.0,-5.730854510282007e-17
NDPK8,8.241159670043888e-06,0.0
PC6YM_1,1.1062188892746694e-06,-2.1014301410104963e-11
DDPA,0.040067071237548366,5.371375735969558e-17
ACOTA,0.0,1.5671912978130087e-17
FBP,0.0,-1.5425093826418803e-17
MNabc_1,0.0,-0.011895899647772474
NTD7,0.0,-0.011895896806740355
MPOMMM,0.0,-0.04941372519722732
MTHFD,0.03753275659684095,1.269361046714111e-16
PANTS,0.000713393692896486,0.0
TMPK,5.479642405011739e-06,-1.1102230246251565e-16
KARI_23dhmp_1,0.0,0.0
IPMD,0.052770479968182016,0.0
3PGtcx,0.0,0.0
CDPMEK,0.062243070029703564,-1.1102230246251565e-16
DVOCHR_1,0.0,-1.1102230246251565e-16
HEMEOS,0.0,-1.4572090719703867e-16
RPE,-0.0459653662278666,-0.0
MPOMT_1,0.0,-0.04941372519722692
UAMAS,0.03377051275808675,1.6473605982221122e-16
BPNT2,0.0,-0.0118958968067404
BIOMASS_COFACTORS,0.0002572602068080628,-3.9898639947466563e-17
HSERTA,0.013737702503809218,0.0
NDPK1,1.1519507255689483,-5.608144891479154e-17
PGL,0.0,0.0
EAR160y,0.0,0.0
MECDPDHf,0.0,-2.7458239156355967e-16
MTHFR3_1,0.0,-3.3306690738754696e-16
3HAD140,0.0,0.0
FBA3,0.0,3.450767403050739e-17
LDAPAT,-0.05210146900888173,-2.7755575615628914e-17
MG2uabcpp,0.0,-0.011895896806740459
HCO3E_1_cx,0.0,0.0
ACODA,0.0,0.0
GLU5K,0.027501044281903184,-5.551115123125783e-17
EAR100y,0.0,-3.3299819872844755e-16
PGM,-0.9915054620390271,-0.0
ASPOb,0.0,-3.1056211204993304e-16
DM_h2_c,0.0,-0.024706862598613467
ACS,0.0,-0.011895896806740299
AMPTASECG,1.0685581654790851e-20,2.7755575615628914e-17
SHCHCS3,0.0,6.938893903907228e-17
ATPPRT,0.010345028061499097,0.0
NDH_1_4_um_copy1,0.0,-2.81455098718755e-17
UAGCVT,0.033770512758086756,-1.7973938715622457e-18
ADSL2r,0.025573760279241013,2.0779415881028707e-17
PRASCSi,0.025573760279241017,-6.69016506225849e-17
MG2tex,0.0,0.0
HPROb,0.0,-1.1102230246251565e-16
NDPK6,0.0,-0.0
GLUPRT,0.025579239921646024,-5.551115123125783e-17
PTRCabcpp,0.0,-2.955296948719116e-17
UPP3MT,1.1062188892746694e-06,-3.076072729868429e-11
DHNCOAS,4.347697495056262e-06,0.0
PMPK,5.479642405011737e-06,-5.551115123125783e-17
HMBS,0.002678102749412233,1.942890293094024e-16
PGLYCP,0.0,-1.7973938715622457e-18
UAGAAT2,0.0,-2.599558475267704
HTHRPDH,0.0,1.3226534619304146e-16
BCT1_syn,0.0,-0.011895896806740507
IPDDI,0.013942477279850679,0.0
CITMS,0.0,-0.29373714422795966
IMPC,-0.03591878834074011,-0.0
Htcx,0.0,0.0
DHQTi,0.04006707123754836,0.0
SPODM,0.0,0.0
3OAS120,0.0,5.551115123125783e-17
PGAMT,-0.0675410255161735,-0.0
PSERT,0.0,0.0
HISTP,0.010345028061499097,5.371375735969558e-17
NNDPR,5.6031273042789034e-05,-8.326672684688674e-17
ADSK,0.022391408251209895,-1.1102230246251565e-16
MECDPS,0.06224307002970358,0.0
CUabcpp,6.524301465866888e-09,-1.7973938715622457e-18
ADCYRS,1.10621888927467e-06,8.73512301649072e-11
RBPCcx,0.0,0.0
3HAD40_2,5.6597245497773825e-06,0.0
EAR180y,0.0,-1.1095359380341623e-16
GTHRDH_syn,1.0685581654790851e-20,-5.551115123125783e-17
PRAIi,0.006613482242442322,-5.551115123125783e-17
PTPATi,0.0007133936928964915,-5.551115123125783e-17
PC6AR_1,0.0,-6.592307345321219e-11
Kabcpp,0.0,-0.011895896964309583
ENO,0.991505462039027,0.0
PRFGS,0.0,-2.58139981663415e-15
PC8XM,1.1062188892746696e-06,0.0
3OAS60,5.659724549777383e-06,5.551115123125783e-17
GMPS2,-0.14106672373092022,-0.0
RBFK,6.611587314967336e-06,0.0
ARGSS,0.0,-0.03568769042022133
SPTc,0.0,0.0
H2Otpp,-13.932967310100118,-0.0
GTHOr,0.0,-0.0
SHK3Dr,0.04006707123754836,1.1095359380341623e-16
CYRDAR,5.531094446373351e-07,-1.567345172877274e-10
ORPT,-0.006268984333796084,-4.242836108488767e-17
GRTT,0.013942477279850679,-1.1102230246251565e-16
BIOMASS_MEM_LIPIDS,0.0,0.0
PRPPS,0.04889412585163616,-8.07500069583524e-17
KARA1,-0.09190569133941585,-2.220446049250313e-16
FCLT,5.479642405011739e-06,1.6653345369377348e-16
PPA,0.0,-0.011895896806740469
DHQS,0.04006707123754836,-1.7973938715622457e-18
ANPRT,0.006613482242442322,-3.122502256758253e-17
ADK1,0.13845036701401942,0.0
NDPK5,1.5146546465605858e-05,0.0
DHNPA_1,0.0016304586353572295,1.3877787807814457e-17
NDPK4,8.083638400842654e-06,0.0
RNDR4,8.083638400842652e-06,-3.2959746043559335e-17
NADK,1.0985010830728918e-05,0.0
3OAR40_2,-5.659724549777383e-06,-0.0
TKT1,-0.002949700604603696,-0.0
NO3abcpp,0.0,-0.024249328106047567
FE3abcpp,0.008249701877230635,-5.730854510282007e-17
MOBDabcpp,0.0,-0.011895896806740545
NPHBDC,0.0,-1.8036009696987927
NPDPS,0.0,-2.866606107429268
NI2uabcpp,0.0,-0.011895896806740486
HCO3tcx,0.0,0.0
RNDR2,1.5146546465605858e-05,7.806255641895632e-17
KARI_1,0.0,-3.1844689121107725e-16
EAR40y,0.0,-6.659276887977957e-16
NADTRHD,0.0,-2.2190718760683245e-16
DHNCOAT,4.347697495056262e-06,-1.1102230246251565e-16
BIOMASS_PROTEIN,0.11051379640359806,-1.1416681600351489e-15
3OAS100,0.0,5.551115123125783e-17
G1SAT,0.021424821995297865,0.0
ILETA,-0.027670657652973434,-5.474548547714685e-17
UAAGDS,0.033770512758086756,-1.6833084756533574e-16
ATPSum,5.249205566917414,8.779413787065886e-16
CHPHYS,0.0,-4.7116902044541025
BCAROHX,0.0,-1.1102230246251565e-16
GLYCLTDx,-0.0016302785532124634,-0.0
PIuabcpp,0.0,-0.011895896806740362
PC20M,1.1062188892746692e-06,4.0486169972098196e-11
ADSS,0.029828960488970664,-1.128196963340779e-16
BIOMASS_RNA,0.024558621423021794,-5.551115123125783e-17
DM_dialurate_c,1.1062188892746702e-06,0.0
ACGS,0.0,4.984268765448489e-16
AFAT,5.505368425692666e-06,5.551115123125783e-17
GLYOX_1,0.0,-0.0
EAR140y,0.0,-1.1102230246251565e-16
FRTT,0.012326039325764485,1.1102230246251565e-16
CTPS2,0.004060078754423814,-1.128196963340779e-16
CO2tex,-5.988157232486243,-0.0
GTHS,0.0,-5.730854510282007e-17
UAGDP,0.06754102551617351,2.42861286636753e-17
DADK,0.0,-4.624323391244949e-17
MPOMC1_1,0.0,-3.3306690738754696e-16
3OAS180,0.0,-0.017843845210109965
EAR80y,0.0,-2.219758962659319e-16
ERTHMMOR,0.0,0.0
PDH,0.0,3.2655317943410446e-17
MPML,0.002666037245712935,1.6473605982221122e-16
USHD2,0.0,5.551115123125783e-17
TPI,0.0,0.0
DHPPDA,1.047049041708828e-05,-6.245004513516506e-17
PRMICI,0.010345028061499098,0.0
CYTBD4um,0.0,-0.021961655643212206
DM_co_c,0.0,-0.4560093775916972
CAT,0.0,-0.04941372519722675
GLUR,0.0,0.0
ALAR,0.08938157168254886,0.0
NAt3pp,-2.572602068080629e-08,-5.371375735969558e-17
UGMDDS,0.033770512758086756,-5.730854510282007e-17
BIOMASS_CARB,0.021121279163989693,2.7755575615628914e-17
ICDHyr,0.11207718788467248,1.1102230246251565e-16
MTRI,1.893435122107343e-05,0.0
SPMS,1.893435122107343e-05,2.7755575615628914e-17
AHSERL2_1,0.0,-1.6350143153314132e-16
PEPC,0.0,-0.011895896806741912
PHETA1,-0.018966829530836116,2.258510595583618e-17
CHORM,0.03020481440615293,0.0
GAPD,0.9915054620390272,-2.063694232456546e-16
PQH2tcm,0.0,-0.016471241732409155
CPPPGO,0.0026715168881179473,0.0
URIDK2r,-8.083638400842654e-06,-0.0
OCBT,0.0,-5.524738408551359e-18
E4PD,0.0,0.0
GLGC,0.11106413435592338,-5.551115123125783e-17
PYK,0.0,-1.2518016099721023e-16
3HAD120,0.0,0.0
2PGLYCtcx,0.0,0.0
MPOMOR_1,0.0,-0.04941372519722732
3OAS160,0.0,-5.551115123125783e-17
IG3PS,0.010345028061499098,5.551115123125783e-17
DM_5drib_c,1.1319449099554762e-05,0.0
RPI,-0.04594442524703247,-0.0
FMNRy_1,1.1062188892746702e-06,-1.1102230246251565e-16
ANS2,0.006613482242442323,1.3877787807814457e-17
GHMT2r,0.0,-2.538722093428222e-16
CBFCum,2.258715796318372e-18,1.734723475976807e-18
SK_amylose_c,0.0,0.40354542244402214
SK_14glucan_c,0.0,-0.011895896806741073
SK_glycogen_c,0.0,-0.41544131925076316
