,fluxes,reduced_costs
UPP3MT,0.0,0.0
DHNCOAS,0.0,0.0
PMPK,0.0,0.0
HMBS,0.0,0.0
PGLYCP,0.0,0.0
UAGAAT2,0.0,0.0
HTHRPDH,0.0,7.065849706973499e-32
BCT1_syn,0.0,0.0
IPDDI,0.0,-0.0
CITMS,0.0,0.0
IMPC,0.0,0.0
Htcx,0.0,0.0
DHQTi,0.0,-0.0
SPODM,0.0,0.0
3OAS120,0.0,0.0
PGAMT,0.0,-8.73535074096909e-32
PSERT,0.0,-0.0
HISTP,0.0,0.0
NNDPR,0.0,4.930380657631324e-32
ADSK,0.0,0.0
MECDPS,0.0,0.0
CUabcpp,0.0,5.254701028651693e-16
ADCYRS,0.0,3.9999648574058115e-15
RBPCcx,0.0,0.0
3HAD40_2,0.0,0.0
EAR180y,0.0,-0.0
GTHRDH_syn,0.0,-4.930380657631324e-32
PRAIi,0.0,0.0
PTPATi,0.0,0.0
PC6AR_1,0.0,-0.0
Kabcpp,0.0,0.0
ENO,0.0,0.0
PRFGS,0.0,8.686236886351605e-16
PC8XM,0.0,0.0
3OAS60,0.0,0.0
GMPS2,0.0,-3.4207694009800616e-32
RBFK,0.0,0.0
ARGSS,0.0,0.0
SPTc,0.0,0.0
H2Otpp,0.0,-0.0
GTHOr,0.0,-0.0
SHK3Dr,0.0,-0.0
CYRDAR,0.0,-0.0
ORPT,0.0,3.016895894885099e-32
GRTT,0.0,0.0
BIOMASS_MEM_LIPIDS,0.0,0.0
PRPPS,0.0,-3.4207694009800616e-32
KARA1,0.0,-2.9030016026153685e-16
FCLT,0.0,0.0
PPA,0.0,-0.0
DHQS,0.0,0.0
ANPRT,0.0,-5.254701028651691e-16
ADK1,0.0,5.254701028651692e-16
NDPK5,0.0,6.421891104031636e-16
DHNPA_1,0.0,0.0
NDPK4,0.0,-0.0
RNDR4,0.0,0.0
NADK,0.0,5.254701028651691e-16
3OAR40_2,0.0,-0.0
TKT1,0.0,0.0
NO3abcpp,0.0,0.0
FE3abcpp,0.0,0.0
MOBDabcpp,0.0,0.0
NPHBDC,0.0,0.0
NPDPS,0.0,0.0
NI2uabcpp,0.0,0.0
HCO3tcx,0.0,0.0
RNDR2,0.0,0.0
KARI_1,0.0,0.0
EAR40y,0.0,0.0
