,ids,growth,status
265,{'UDCPDPpp'},0.7097712093950309,optimal
266,{'TRE6PS'},0.7097712093950309,optimal
267,{'UDPGDC'},0.7097712093950309,optimal
268,{'GLUt2rpp'},0.7097712093950309,optimal
269,{'NAt3pp'},0.0,optimal
270,{'XMPtex'},0.7097712093951439,optimal
271,{'AMAA'},0.7097712093949097,optimal
272,{'ADPT'},-4.102019660663854e-15,optimal
273,{'GALCTLO'},0.709771209395105,optimal
274,{'3OAR60'},-1.2901610830795865e-14,optimal
275,{'MTHFC'},-1.6675767913145316e-13,optimal
276,{'AGM3Pt2pp'},0.7097712093968332,optimal
277,{'FDMO5_1'},0.7097712093953091,optimal
278,{'4HTHRS'},0.7097712093953091,optimal
279,{'EX_glcn_e'},0.7097712093953091,optimal
280,{'DTMPtex'},0.7097712093953091,optimal
281,{'PLIPA2G161pp'},0.7097712093953091,optimal
282,{'PGP180abcpp'},0.7097712093953091,optimal
283,{'DHAD2'},-4.695629708414307e-16,optimal
284,{'ADCS'},-2.999773457808369e-14,optimal
285,{'GLYabcpp'},0.7097712093950056,optimal
286,{'SHCHD2'},0.709771209395065,optimal
287,{'CYO1b2_syn'},0.7097712093950769,optimal
288,{'BIOMASS__1'},0.0,optimal
289,{'PQH2tcm'},0.7097712093950955,optimal
290,{'EX_fer_e'},0.7097712093950437,optimal
291,{'SQD1'},0.7097712093950437,optimal
292,{'TTRCYCtpp'},0.7097712093950437,optimal
293,{'3HAD40'},0.7097712093950437,optimal
294,{'PPPGO2_1'},0.7093977191094553,optimal
295,{'AACPS6'},0.7097712093950619,optimal
296,{'ULA4NFT'},0.7097712093950437,optimal
297,{'METDabcpp'},0.7097712093950437,optimal
298,{'HPPK2'},0.7097712093950437,optimal
299,{'PQBS1'},0.7097712093950437,optimal
300,{'CHORS'},-4.1079925304513235e-16,optimal
301,{'CFAS180G'},0.7097712093950982,optimal
302,{'RPI'},0.7076354479269868,optimal
303,{'NDH_1_4_um_copy2'},0.7097712093951045,optimal
304,{'ECOAH5'},0.6222630106025481,optimal
305,{'3HAD60'},-5.1111102952587774e-15,optimal
306,{'CITL'},0.7097712093950911,optimal
307,{'CYSSADS'},0.7097712093950859,optimal
308,{'DBTS'},0.0,optimal
309,{'NTD8'},0.7097712093951596,optimal
310,{'EX_dca_e'},0.709771209394987,optimal
311,{'CD2abc1'},0.709771209394987,optimal
312,{'PROGLYabcpp'},0.709771209394987,optimal
313,{'PIuabcpp'},0.709771209394987,optimal
314,{'3HAD180'},0.709771209394987,optimal
315,{'DGDGS_OLE_PALM'},0.709771209394987,optimal
316,{'NADPHXE'},0.709771209394987,optimal
317,{'BZDH'},0.709771209394987,optimal
318,{'CPRDFE'},0.0,optimal
319,{'EX_h2o_e'},0.1212982795783106,optimal
320,{'SUCDpp_syn'},0.709771209395048,optimal
321,{'34DHCINMtpp'},0.7097712093955247,optimal
322,{'EX_galct__D_e'},0.7097712093955247,optimal
323,{'SHCHCS3'},0.7097712093955247,optimal
324,{'CUt3'},0.7097712093955247,optimal
