compartment,formula,member_count,metabolite_ids,metabolite_id_name_pairs,new
c,C6H9O3,3,2o3mpt_c | 3mop_c | 4mop_c,2o3mpt_c:R  2 Oxo 3 methylpentanoate C6H9O3 | 3mop_c:(S)-3-Methyl-2-oxopentanoate | 4mop_c:4-Methyl-2-oxopentanoate,
c,C6H9O4,3,2ahbut_c | 2dhp_c | 3hmop_c,2ahbut_c:(S)-2-Aceto-2-hydroxybutanoate | 2dhp_c:2-Dehydropantoate | 3hmop_c:(R)-3-Hydroxy-3-methyl-2-oxopentanoate,
c,C6H9O7,2,2dhguln_c | 5dglcn_c,2dhguln_c:2-Dehydro-L-gulonate | 5dglcn_c:5-Dehydro-D-gluconate,
c,C7H10N5O,2,preq1_c | preqtrna_c,preq1_c:7-aminomethyl-7-deazaguanine | preqtrna_c:7-aminomethyl-7-deazaguaninyl tRNA,
c,C7H10O5,2,3c2hmp_c | 3c3hmp_c,3c2hmp_c:3-Carboxy-2-hydroxy-4-methylpentanoate | 3c3hmp_c:3-Carboxy-3-hydroxy-4-methylpentanoate,
c,C7H12O13P2,2,gmhep17bp_c | s17bp_c,"gmhep17bp_c:D-Glycero-D-manno-heptose 1,7-bisphosphate | s17bp_c:Sedoheptulose 1,7-bisphosphate",
c,C7H13O10P,3,gmhep1p_c | gmhep7p_c | s7p_c,gmhep1p_c:D-Glycero-D-manno-heptose 1-phosphate | gmhep7p_c:D-Glycero-D-manno-heptose 7-phosphate | s7p_c:Sedoheptulose 7-phosphate,
c,C7H14N2O4,2,26dap_LL_c | 26dap__M_c,"26dap_LL_c:LL-2,6-Diaminoheptanedioate | 26dap__M_c:Meso-2,6-Diaminoheptanedioate",
c,C7H15NO3,2,crn__D_c | crn_c,crn__D_c:D-Carnitine | crn_c:L-Carnitine,
c,C7H3O6,2,2pdc_c | CCbuttc_c,"2pdc_c:2-Pyrone-4,6-dicarboxylate | CCbuttc_c:Cis,cis-Butadiene-1,2,4-tricarboxylate",
c,C7H3O7,2,omaenol_c | omaketo_c,"omaenol_c:4-Carboxy-2-hydroxyhexa-2,4-dienedioate | omaketo_c:4-oxalomesaconate (keto form)",
c,C7H5O4,2,23dhb_c | 34dhbz_c,"23dhb_c:2,3-Dihydroxybenzoate | 34dhbz_c:3,4-Dihydroxybenzoate",
c,C7H5O6,2,2h2pdc_c | 42hmsad_c,"2h2pdc_c:2-Hydroxy-2-hydropyrone-4,6-dicarboxylate | 42hmsad_c:4-carboxy-2-hydroxymuconate semialdehyde",
c,C7H6NO2,2,4abz_c | anth_c,4abz_c:4-Aminobenzoate | anth_c:Anthranilate,
c,C7H6O3,2,34dhbald_c | 3hbz_c,"34dhbald_c:3,4-dihydroxybenzaldehyde | 3hbz_c:3-Hydroxybenzoate",
c,C7H7NO6PS,2,2c4mthzep_c | cthzp_c,"2c4mthzep_c:2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate | cthzp_c:4-Methyl-5-[2-(phosphonooxy)ethyl]-1,3-thiazole-2-carboxylate",
c,C7H7O4,2,23ddhb_c | hmccms_c,"23ddhb_c:2,3-Dihydro-2,3-dihydroxybenzoate | hmccms_c:2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde",
