reaction_id,vmax_multiplier,vmax_label,quantity,feasible_minimum,feasible_maximum,growth_optimal_value,fva_width
BIOMASS__1,0.5,Vmax 0.5x,flux,0.0178067,0.0197852,0.0197852,0.00197852
EX_for_e,0.5,Vmax 0.5x,positive uptake,0.803221,0.892468,0.892468,0.0892468
FDH,0.5,Vmax 0.5x,flux,0.798195,0.887443,0.886883,0.0892477
RBPCcx,0.5,Vmax 0.5x,flux,0.378181,0.750913,0.420201,0.372732
RPE,0.5,Vmax 0.5x,flux,-0.361922,-0.255907,-0.284341,0.106015
FBA,0.5,Vmax 0.5x,flux,-0.865489,6.81135,0,7.67684
FBA3,0.5,Vmax 0.5x,flux,-0.0860814,0.0578823,-0.0860814,0.143964
PGK,0.5,Vmax 0.5x,flux,0,10.7379,0,10.7379
GAPD,0.5,Vmax 0.5x,flux,0,5.81745,0,5.81745
TKT1,0.5,Vmax 0.5x,flux,-0.179311,-0.126303,-0.140337,0.053008
TKT2,0.5,Vmax 0.5x,flux,-0.182611,-0.129603,-0.144004,0.0530078
TALA,0.5,Vmax 0.5x,flux,-0.179311,-0.0402218,-0.0542557,0.139089
SBP,0.5,Vmax 0.5x,flux,0,0.0860814,0.0860814,0.0860814
FBP,0.5,Vmax 0.5x,flux,0,0.865489,0,0.865489
TPI,0.5,Vmax 0.5x,flux,-0.758133,6.95622,0.235177,7.71435
PGM,0.5,Vmax 0.5x,flux,-0.0140106,0.007361,-0.0140106,0.0213717
ENO,0.5,Vmax 0.5x,flux,-0.007361,0.0140106,0.0140106,0.0213717
PYK,0.5,Vmax 0.5x,flux,0,0,0,0
CS,0.5,Vmax 0.5x,flux,0.00923154,0.037906,0.0102573,0.0286745
ACONT,0.5,Vmax 0.5x,flux,0.00923154,0.037906,0.0102573,0.0286745
ICDHyr,0.5,Vmax 0.5x,flux,0.00923154,0.0377626,0.0102573,0.0285311
AKGDH,0.5,Vmax 0.5x,flux,0,0.0238071,0,0.0238071
SUCOAS,0.5,Vmax 0.5x,flux,0,0.00483362,6.53108e-05,0.00483362
SUCDi,0.5,Vmax 0.5x,flux,0,0.0892468,0,0.0892468
FUM,0.5,Vmax 0.5x,flux,-0.0102204,0.0184541,0.00500513,0.0286745
MDH,0.5,Vmax 0.5x,flux,-0.0131243,0.0155502,0.00210124,0.0286745
ME2,0.5,Vmax 0.5x,flux,0,0.00290389,0.00290389,0.00290389
BIOMASS__1,1,Vmax 1x,flux,0.0212806,0.0236451,0.0236451,0.00236451
EX_for_e,1,Vmax 1x,positive uptake,0.959922,1.78494,1.78494,0.825015
FDH,1,Vmax 1x,flux,0.953914,1.77893,1.77826,0.825016
RBPCcx,1,Vmax 1x,flux,0.45196,0.750913,0.502178,0.298953
RPE,1,Vmax 1x,flux,-0.531439,-0.305832,-0.339813,0.225607
FBA,1,Vmax 1x,flux,-0.865489,7.00065,0.537579,7.86614
FBA3,1,Vmax 1x,flux,-0.0860814,0.0578823,0,0.143964
PGK,1,Vmax 1x,flux,0,10.7379,0,10.7379
