Time_h,Time_d,Active_Biomass_gDW_L,Active_Formate_mM,Diffusion_Biomass_gDW_L,Diffusion_Formate_mM
22.0,0.9166666666666666,0.027809507083924778,19.64578318306105,0.02000052599548372,19.999976497141933
23.0,0.9583333333333334,0.028229290117703115,19.626743061568526,0.020000549904683345,19.99997542881617
24.0,1.0,0.028655404810252545,19.607415758025308,0.020000573813910273,19.99997436048919
25.0,1.0416666666666667,0.02908794650283133,19.587796948191134,0.020000597723164506,19.99997329216099
26.0,1.0833333333333333,0.02952701196697686,19.567882242958483,0.020000621632446043,19.99997222383157
27.0,1.125,0.029972699425774983,19.54766718738808,0.020000645541754885,19.99997115550093
28.0,1.1666666666666667,0.030425108575438724,19.52714725973037,0.02000066945109103,19.999970087169068
29.0,1.2083333333333333,0.03088434060720056,19.50631787043278,0.020000693360454482,19.999969018835987
30.0,1.25,0.031350498229522426,19.485174361132586,0.020000717269845238,19.999967950501688
31.0,1.2916666666666667,0.03182368569062797,19.463712003635152,0.020000741179263298,19.999966882166166
32.0,1.3333333333333333,0.032304008801361174,19.4419259988774,0.020000765088708666,19.999965813829427
33.0,1.375,0.032791574958375924,19.41981147587627,0.020000788998181338,19.999964745491464
34.0,1.4166666666666667,0.03328649316766088,19.397363490661956,0.020000812907681315,19.999963677152284
35.0,1.4583333333333333,0.03378887406840405,19.374577025195798,0.020000836817208597,19.99996260881188
36.0,1.5,0.03429882995720188,19.351446986272506,0.020000860726763183,19.99996154047026
37.0,1.5416666666666667,0.034816474812617036,19.327968204406613,0.020000884636345074,19.99996047212742
38.0,1.5833333333333333,0.03534192432008985,19.304135432702875,0.02000090854595427,19.999959403783357
39.0,1.625,0.03587529589720783,19.279943345710468,0.02000093245559077,19.999958335438077
40.0,1.6666666666666667,0.03641670871933809,19.25538653826071,0.020000956365254573,19.999957267091574
41.0,1.7083333333333333,0.03696628374562732,19.230459524288136,0.020000980274945686,19.999956198743853
42.0,1.75,0.037524143745374175,19.205156735634716,0.020001004184664103,19.999955130394913
43.0,1.7916666666666667,0.038090413324778784,19.179472520836935,0.020001028094409824,19.99995406204475
44.0,1.8333333333333333,0.038665218954074355,19.153401143895604,0.02000105200418285,19.99995299369337
45.0,1.875,0.03924868899504564,19.126936783028114,0.02000107591398318,19.999951925340767
46.0,1.9166666666666667,0.03984095372893919,19.100073529402938,0.020001099823810816,19.999950856986946
47.0,1.9583333333333333,0.040442145384770485,19.07280538585615,0.02000112373366576,19.999949788631902
48.0,2.0,0.041052398168032835,19.045126265589747,0.020001147643548007,19.99994872027564
49.0,2.0416666666666665,0.0416718482898129,19.01702999085153,0.02000117155345756,19.99994765191816
50.0,2.0833333333333335,0.04230063399631823,18.988510291596324,0.020001195463394416,19.999946583559456
51.0,2.125,0.042938895598821594,18.95956080412832,0.02000121937335858,19.999945515199535
52.0,2.1666666666666665,0.043586775504027245,18.93017506972428,0.02000124328335005,19.99994444683839
53.0,2.2083333333333335,0.0442444182448644,18.90034653323741,0.020001267193368824,19.99994337847603
54.0,2.25,0.0449119705117129,18.87006854168163,0.020001291103414903,19.999942310112445
55.0,2.2916666666666665,0.045589581184066176,18.83933434279604,0.02000131501348829,19.999941241747642
56.0,2.3333333333333335,0.046277401362636805,18.80813708358935,0.02000133892358898,19.99994017338162
57.0,2.375,0.04697558440190983,18.776469808864004,0.020001362833716976,19.999939105014377
58.0,2.4166666666666665,0.04768428594314892,18.744325459719796,0.020001386743872276,19.999938036645915
59.0,2.4583333333333335,0.04840366394786056,18.711696872036743,0.020001410654054884,19.99993696827623
