module,module_scale,fort_background,final_biomass_gDW_L,delta_biomass_gDW_L,final_formate_mM,final_co2_mM,cumulative_biomass_production_gDW_L,cumulative_formate_consumed_mM_gDW_h_proxy,cumulative_fdh_flux_mM_gDW_h_proxy,cumulative_rubisco_total_flux_mM_gDW_h_proxy,cumulative_rbpcx_flux_mM_gDW_h_proxy,cumulative_cs_flux_mM_gDW_h_proxy,cumulative_icdhyr_flux_mM_gDW_h_proxy,external_co2_uptake_blocked,scaled_reactions,baseline_final_biomass_gDW_L,baseline_cumulative_rubisco_total,baseline_cumulative_rbpcx,baseline_cumulative_cs,baseline_cumulative_icdhyr,relative_final_biomass,relative_cumulative_rubisco_total_flux,relative_cumulative_rbpcx_flux,relative_cumulative_cs_flux,relative_cumulative_icdhyr_flux
FDH,0.5,1.0,0.2296711762125098,0.2096711762125098,10.402447501813601,5.059832086606971,0.20967117621250975,9.36876605955005,9.30957996620141,4.386239935953376,0.0,0.10870440691028835,0.10870440691028835,True,FDH,0.44424569497654637,9.055634335870254,0.0006827869905596147,0.2199509607840749,0.21995096078407494,0.5169913379231174,0.48436584045570946,0.0,0.4942211051171679,0.49422110511716777
FDH,1.0,1.0,0.44424569497654637,0.42424569497654635,0.0,10.65482418273491,0.42424569497654635,19.337890221554925,19.218133916662612,9.055634335870254,0.0006827869905596147,0.2199509607840749,0.21995096078407494,True,FDH,0.44424569497654637,9.055634335870254,0.0006827869905596147,0.2199509607840749,0.21995096078407494,1.0,1.0,1.0,1.0,1.0
CBB,0.01,1.0,0.023561944328506754,0.003561944328506754,19.839819588904298,0.08480266623537835,0.0035619443285067566,0.15990950726528302,0.15890403968820413,0.07507738415431768,0.03753289979976992,0.0018466249535668857,0.0018466249535668857,True,RBPC;RBCh;RBPCcx;RPE;FBA;FBA3;PGK;GAPD;TKT1;TKT2;TALA;SBP;FBP,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,0.05212017989887184,0.008306201882578607,,0.008243914980906214,0.008243914980906214
CBB,0.05,1.0,0.05279582885883135,0.03279582885883135,18.512933404695573,0.7873585521398724,0.032795828858831345,1.4724923627146136,1.4632347383556146,0.6913789366136893,0.3535911262727637,0.0170023982292322,0.017002398229232208,True,RBPC;RBCh;RBPCcx;RPE;FBA;FBA3;PGK;GAPD;TKT1;TKT2;TALA;SBP;FBP,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,0.11678697053464819,0.0764908512671663,,0.075904056859277,0.07590405685927702
CBB,0.1,1.0,0.143466502107929,0.12346650210792899,14.345229445090457,2.994064836816704,0.12346650210792899,5.543552718739646,5.508700527555369,2.60287925405843,1.3340995636887192,0.06400895204830478,0.06400895204830478,True,RBPC;RBCh;RBPCcx;RPE;FBA;FBA3;PGK;GAPD;TKT1;TKT2;TALA;SBP;FBP,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,0.31735495997587837,0.28797008318438555,,0.2857561074780604,0.2857561074780604
CBB,0.2,1.0,0.45060886399950384,0.4306088639995038,0.0,10.644855038772066,0.4306088639995038,19.333169392167992,19.211616888472406,9.07731858571796,4.610709192566425,0.22324129749156596,0.223241297491566,True,RBPC;RBCh;RBPCcx;RPE;FBA;FBA3;PGK;GAPD;TKT1;TKT2;TALA;SBP;FBP,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,0.9967689732322202,1.0042710141642592,,0.9966194127252715,0.9966194127252717
CBB,0.5,1.0,0.44453364661578715,0.42453364661578713,0.0,10.661413660230105,0.42453364661578713,19.349574304051238,19.22973671601397,9.061186822382938,0.01493397622527412,0.2200917120448396,0.22009171204483957,True,RBPC;RBCh;RBPCcx;RPE;FBA;FBA3;PGK;GAPD;TKT1;TKT2;TALA;SBP;FBP,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,0.9833302935312003,1.0024862732000928,,0.9825586720222075,0.9825586720222074
CBB,1.0,1.0,0.4520695126959215,0.4320695126959215,0.0,10.65037179993277,0.4320695126959215,19.306221575296952,19.184256758895113,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,True,RBPC;RBCh;RBPCcx;RPE;FBA;FBA3;PGK;GAPD;TKT1;TKT2;TALA;SBP;FBP,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,1.0,1.0,,1.0,1.0
TCA,0.01,1.0,0.4520695126959215,0.4320695126959215,0.0,10.65037179993277,0.4320695126959215,19.306221575296952,19.184256758895113,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,True,CS;ACONT;ACONTa;ACONTb;ICDHyr;AKGDH;AKGDa;AKGDb;SUCOAS;SUCDi;FUM;MDH;ME2,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,1.0,1.0,,1.0,1.0
TCA,0.05,1.0,0.4520695126959215,0.4320695126959215,0.0,10.65037179993277,0.4320695126959215,19.306221575296952,19.184256758895113,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,True,CS;ACONT;ACONTa;ACONTb;ICDHyr;AKGDH;AKGDa;AKGDb;SUCOAS;SUCDi;FUM;MDH;ME2,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,1.0,1.0,,1.0,1.0
TCA,0.1,1.0,0.4520695126959215,0.4320695126959215,0.0,10.65037179993277,0.4320695126959215,19.306221575296952,19.184256758895113,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,True,CS;ACONT;ACONTa;ACONTb;ICDHyr;AKGDH;AKGDa;AKGDb;SUCOAS;SUCDi;FUM;MDH;ME2,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,1.0,1.0,,1.0,1.0
TCA,0.2,1.0,0.4520695126959215,0.4320695126959215,0.0,10.65037179993277,0.4320695126959215,19.306221575296952,19.184256758895113,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,True,CS;ACONT;ACONTa;ACONTb;ICDHyr;AKGDH;AKGDa;AKGDb;SUCOAS;SUCDi;FUM;MDH;ME2,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,1.0,1.0,,1.0,1.0
TCA,0.5,1.0,0.4520695126959215,0.4320695126959215,0.0,10.65037179993277,0.4320695126959215,19.306221575296952,19.184256758895113,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,True,CS;ACONT;ACONTa;ACONTb;ICDHyr;AKGDH;AKGDa;AKGDb;SUCOAS;SUCDi;FUM;MDH;ME2,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,1.0,1.0,,1.0,1.0
TCA,1.0,1.0,0.4520695126959215,0.4320695126959215,0.0,10.65037179993277,0.4320695126959215,19.306221575296952,19.184256758895113,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,True,CS;ACONT;ACONTa;ACONTb;ICDHyr;AKGDH;AKGDa;AKGDb;SUCOAS;SUCDi;FUM;MDH;ME2,0.4520695126959215,9.03871410972862,0.0,0.22399854411937362,0.22399854411937362,1.0,1.0,,1.0,1.0
Cyclic electron flow,0.01,1.0,0.25515119893910587,0.23515119893910588,0.0,14.97081983813577,0.23515119893910588,19.57020146421374,19.50382285622919,4.91926506572686,0.0,0.12190984242703329,0.1219098424270333,True,,0.4520695126960052,9.03871410972794,0.0,0.22399854411935372,0.22399854411935372,0.5644070032890774,0.5442439052732609,,0.5442439052732224,0.5442439052732225
